Age_kyr,TS_Full_dataset,TS_20kyr_ensemble_mean,TS_20kyr_empirical_lower_95,TS_20kyr_empirical_upper_95,TS_50kyr_ensemble_mean,TS_50kyr_empirical_lower_95,TS_50kyr_empirical_upper_95,TS_100kyr_ensemble_mean,TS_100kyr_empirical_lower_95,TS_100kyr_empirical_upper_95
260,7.660120455394166e-05,0.00022200093101508455,5.5557216712165156e-06,0.0006029447122413535,0.0004002915459556626,2.870498402705647e-05,0.0010168928314188872,0.0006006879377987997,1.3256989814659753e-05,0.0017654983674729105
270,8.625578722422416e-05,0.00021469768633635428,0.0,0.0005899679726025892,0.00039249359887114527,9.776588955679615e-06,0.0010168928314188872,0.0005690847853160316,1.9804559954344654e-05,0.0017260992283474024
280,0.00011979084518430833,0.00022074676085161144,0.0,0.0005888524709692491,0.0003874968106239993,9.776588955679615e-06,0.0009728649723131026,0.0005572185484365287,1.3247671370787698e-05,0.0017260992283474024
290,0.0001880933168563598,0.0002623728106276598,5.47857794418254e-06,0.0006553439777028652,0.0004060759155149695,9.776588955679615e-06,0.001029092243687004,0.0005674309526509473,2.2012718406922152e-05,0.0017255165474641956
300,0.00018560608445451554,0.00027183894719596613,7.569781843932126e-19,0.0006956621959193663,0.00040499649266875,8.103138166875907e-06,0.001029092243687004,0.0005646221497956909,1.3288708356163314e-05,0.0016158733414746898
310,0.00014953243078050335,0.00025045028802905963,0.0,0.0006956621959193663,0.00039583938936857215,9.776588955679615e-06,0.0010006914262055884,0.0005430470507827878,2.197100078227033e-05,0.001576324734987856
320,0.00015606142577718603,0.00023874699041453957,7.775388907414223e-06,0.0006018549084808007,0.0003829212378131458,9.776588955679615e-06,0.000953124321686987,0.000529837869558689,2.7731393979923578e-05,0.0015534230877638378
330,0.0002062089515305868,0.0002548849432705173,1.0920721767239052e-05,0.0006711371448840763,0.0003980691035967459,9.776588955679615e-06,0.0009538036269962063,0.0005312830076996599,6.056481964522479e-05,0.0014711650068915793
340,0.0002371708776408456,0.0002645032175174477,1.3799006725352246e-05,0.0006711371448840763,0.00039992554068851694,1.891786812728222e-05,0.0009475480554148372,0.0005153424931265875,5.136900716482672e-05,0.001438365284232377
350,0.00026765623828668196,0.0002864073005631621,6.75090877618067e-06,0.0007016878029590804,0.0004081601402702623,2.7396283043343087e-05,0.000939232053487552,0.000526347457705187,5.136900716482672e-05,0.001438365284232377
360,0.0003035872979074556,0.0003143301472176327,0.0,0.0007016878029590804,0.00042544874275714744,2.7396283043343087e-05,0.000939232053487552,0.0005310506884518434,5.136900716482672e-05,0.001438873399222335
370,0.0003139880616452983,0.00032448794415949433,1.1128366246176459e-05,0.0007049907218041081,0.0004348388813783879,2.7396283043343087e-05,0.0010329567845130839,0.0005454351211054373,3.233821307389825e-05,0.001387855227503235
380,0.0002674956924141797,0.0002880726282498578,1.375381491543492e-05,0.0006992674281855049,0.0004193944005365155,2.9620766091368763e-05,0.0010329567845130839,0.0005058728192826922,2.1404207874874785e-05,0.0013484183012488265
390,0.0002472768635780639,0.00025501818752168804,1.646134094789402e-05,0.000625825649907578,0.0003949049439930238,2.064606432510537e-05,0.0009968196343008691,0.0004952848698963763,2.1404207874874785e-05,0.0013484183012488265
400,0.00022983207578136167,0.0002259541709203646,0.0,0.0005998297496527544,0.0003702534331765323,2.064606432510537e-05,0.0009968196343008691,0.0004941046495437142,2.1404207874874785e-05,0.0013484183012488265
410,0.0002311860238341758,0.00022180619200879535,7.737297527404739e-06,0.0005998297496527544,0.0003655069260881093,1.5771124917763693e-05,0.0009968196343008691,0.00048789447471115797,2.1404207874874785e-05,0.0013484183012488265
420,0.0002500398873153574,0.00022785336027875472,1.1543377976737609e-05,0.0005848736714146126,0.0003681274649692375,1.5771124917763693e-05,0.0009968196343008691,0.0004757998551514385,2.549655861562495e-05,0.0013484183012488265
430,0.0002416493667688172,0.00022032836325236842,1.6641803527726543e-06,0.0005848736714146126,0.0003575324162392358,1.2776815377546778e-05,0.0009968196343008691,0.0004691994924629744,2.549655861562495e-05,0.0013484183012488265
440,0.000234212419696901,0.00021069931551703512,0.0,0.0005181528507260073,0.0003463512006176008,8.488132509374796e-06,0.0009966206511633144,0.000454397867404917,9.497595110516693e-06,0.0013484183012488265
450,0.00027954825002795305,0.00022935903673140215,0.0,0.0005598837836067099,0.000345978065749791,1.2745042832743678e-05,0.0009300984397232357,0.00045961839263339825,9.336064668497733e-06,0.0013484183012488265
460,0.0003545926568181521,0.0002683461006449119,1.629051875837116e-05,0.0006115594322619859,0.00037142321127305933,1.5011045873760225e-05,0.0009579583901671876,0.00047245298710637916,9.497595110516693e-06,0.0014691939943222152
470,0.00037372404652737947,0.00027239006081153497,1.4649996655580873e-05,0.0006115594322619859,0.00038446303547308035,1.580868829131276e-05,0.0009579583901671876,0.00046938272556941647,1.3964555168331395e-05,0.0014691939943222152
480,0.0003708070191387291,0.00027310253679064113,5.5423386141324945e-06,0.0006119305921865191,0.0003753136302851665,1.3913139809960118e-05,0.0009579583901671876,0.0004607393513042201,2.7527487290422066e-05,0.001356442301353645
490,0.00038511702423658293,0.00028386577255014745,1.5256839273060548e-05,0.0006184960018747015,0.00037776427828146,1.3891103479281369e-05,0.0009318654988650572,0.00046227256949670577,1.396381821929805e-05,0.001356442301353645
500,0.0003905762953237499,0.00029082654870848766,3.095468064339534e-05,0.0006184960018747015,0.00037350971628325374,1.2599350499449269e-05,0.0009303117080345793,0.0004509679113234295,9.404953442214396e-06,0.0013140043979589957
510,0.00044420753375977326,0.00033192915474990767,4.792776877220708e-05,0.0006450958184009081,0.0003900820508502989,1.1996685295646071e-05,0.0009323479549456355,0.00044154429170056956,1.2154201056070488e-05,0.001312269878865441
520,0.0004084008045495853,0.0002947683072408642,4.233692395018042e-05,0.0005539465078781647,0.0003557254423908157,9.444377197929278e-06,0.0008494597862597237,0.0004240540962786563,1.396381821929805e-05,0.0011651566938255297
530,0.0004083801951943551,0.00028539257258694794,2.959997153862954e-05,0.0005562531148620274,0.0003534086747122477,9.444377197929278e-06,0.0007989138581756084,0.0004334220115552767,1.3938504673710153e-05,0.0012049318478502369
540,0.0003890262405158584,0.00027029750739444673,4.716309938288266e-05,0.0005600037408496997,0.00035290206064359826,1.5169899798508724e-05,0.0007989138581756084,0.00043567534215178895,3.6321857784284866e-05,0.001147690791193379
